,,,* = Potentially Revise,,,,,Done,In Progress,N/A
Round,Scale,Time (seconds),Object,Display Name,# of Taps,Expected Taps/Sec,Model File Name,Modeled,Textured,Implemented
1,1,4.00,Ant,Defenseless Ant,1,0.25,,,,
2,1,4.00,Ear Buds,Pair of Tangled Ear Buds,10,2.5,,,,
3,1,4.00,Alarm Clock,Blaring Alarm Clock,15,3.75,,,,
4,2,8.00,Fedora,Questionably Stylish Hat,30,3.75,,,,
5,2,8.00,Slow Laptop,Slow Laptop,35,4.375,,,,
6,2,8.00,Lawn Mower,Smoking Lawn Mower,42,5.25,,,,
7,3,12.00,Copy Machine,Jammed Copy Machine,65,5.416666667,,,,
8,3,12.00,Trump,President,69,5.75,,,,
9,3,12.00,Car,Double Parked Car,75,6.25,,,,
10,4,14.00,Tiny House,Minimal Tiny House,90,6.428571429,,,,
11,4,16.00,Iceberg*,Familiar Iceberg,110,6.875,,,,
12,4,18.00,Ocean Liner*,Very Familiar Ocean Liner,130,7.222222222,,,,
13,5,20.00,Florida* (Different Large State?),Florida,150,7.5,,,,
14,5,25.00,Earth,Earth,200,8,,,,
15,5,30.00,Player,Loser,250,8.333333333,,,,
,,,,,,,,,,
,Length (Seconds),195.00,,,,,,,,
,Length (Minutes),3.25,,,,,,,,
