,,,* = Potentially Revise,,,,,Done,In Progress,N/A,
Round,Scale,Time (seconds),Object,Display Name,# of Taps,Expected Taps/Sec,Model File Name,Modeled,Textured,Implemented,Priority
1,1,4.00,Ant,Defenseless Ant,1,0.25,screw-this-thing-deliv1.unitypackage,Done,Done,,x
2,1,4.00,Ear Buds,Pair of Tangled Ear Buds,17,4.25,screw-this-thing-shittyDeliv.unitypackage,Done,eh,,x
3,1,4.00,Alarm Clock,Blaring Alarm Clock,20,5,screw-this-thing-deliv1.unitypackage,Done,Done,,x
4,2,8.00,Fedora,Questionably Stylish Hat,42,5.25,screw-this-thing-deliv1.unitypackage,Done,Done,,x
5,2,8.00,Slow Laptop,Slow Laptop,45,5.625,screw-this-thing-shittyDeliv.unitypackage,Done,eh,,x
6,2,8.00,Lawn Mower,Smoking Lawn Mower,48,6,screw-this-thing-shittyDeliv.unitypackage,Done,eh,,x
7,3,12.00,Copy Machine,Jammed Copy Machine,75,6.25,screw-this-thing-shittyDeliv.unitypackage,eh,eh,,x
8,3,12.00,Trump,Fascist President,80,6.666666667,,Done,Done,Done,x
9,3,12.00,Car,Double Parked Car,83,6.916666667,car.unitypackage,Done,Done,Done,x
10,4,14.00,Tiny House,Tiny House,100,7.142857143,,In Progress,,,1
11,4,16.00,Iceberg*,Familiar Iceberg,117,7.3125,,,,,3
12,4,18.00,Ocean Liner*,Very Familiar Ocean Liner,138,7.666666667,,,,,3
13,5,20.00,Florida* (Different Large State?),Florida,155,7.75,florida.unitypackage,Done,Done,,x
---,---,---,Lower-right-hand section of US,---,---,---,,,,,2
14,5,25.00,Earth,Earth,200,8,,,,,3
15,5,30.00,Player,Loser,266,8.866666667,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,
,Length (Seconds),195.00,,,,,,,,,
,Length (Minutes),3.25,,,,,,,,,
