,,,* = Potentially Revise,,,,,,Done,In Progress,N/A,
Round,Scale,Time (seconds),Object,Display Name,# of Taps,Expected Taps/Sec,Random Taps/Sec,Model File Name,Modeled,Textured,Implemented,Priority
1,1,4.00,Ant,Defenseless Ant,1,0.25,0.08333333333,screw-this-thing-shittyDeliv-2.unitypackage,Done,Done,,x
2,1,4.00,Ear Buds,Pair of Tangled Ear Buds,12,3,1,screw-this-thing-shittyDeliv.unitypackage,Done,eh,,x
3,1,4.00,Alarm Clock,Blaring Alarm Clock,18,4.5,1.5,screw-this-thing-deliv1.unitypackage,Done,Done,,x
4,2,8.00,Fedora,Questionably Stylish Hat,39,4.875,1.625,screw-this-thing-deliv1.unitypackage,Done,Done,,x
5,2,8.00,Slow Laptop,Slow Laptop,45,5.625,1.875,screw-this-thing-shittyDeliv.unitypackage,Done,eh,,x
6,2,8.00,Lawn Mower,Smoking Lawn Mower,51,6.375,2.125,screw-this-thing-shittyDeliv.unitypackage,Done,eh,,x
7,3,12.00,Copy Machine,Jammed Copy Machine,75,6.25,2.083333333,screw-this-thing-shittyDeliv.unitypackage,eh,eh,,x
8,3,12.00,Trump,Fascist President,78,6.5,2.166666667,,Done,Done,Done,x
9,3,12.00,Car,Double Parked Car,81,6.75,2.25,car.unitypackage,Done,Done,Done,x
10,4,14.00,Tiny House,Tiny House,99,7.071428571,2.357142857,screw-this-thing-shittyDeliv.unitypackage,eh,eh,,x
11,4,16.00,Iceberg*,Familiar Iceberg,117,7.3125,2.4375,screw-this-thing-shittyDeliv-2.unitypackage,eh,eh,,x
12,4,18.00,Ocean Liner*,Very Familiar Ocean Liner,138,7.666666667,2.555555556,screw-this-thing-shittyDeliv-2.unitypackage,eh,eh,,x
13,5,20.00,Florida* (Different Large State?),Florida,155,7.75,2.583333333,florida.unitypackage,Done,Done,,x
---,---,---,Lower-right-hand section of US,---,---,---,---,screw-this-thing-shittyDeliv-2.unitypackage,Done,eh,,x
14,5,25.00,Earth,Earth,200,8,2.666666667,,,,,3
15,5,30.00,Player,Loser,250,8.333333333,2.777777778,N/A,N/A,N/A,N/A,N/A
---,---,---,Giant Fist,---,---,---,---,,,,,3
,Length (Seconds),195.00,,,,,,,,,,
,Length (Minutes),3.25,,,,,,,,,,
