,,,* = Potentially Revise,,,,Done,In Progress,N/A
Round,Scale,Time (seconds),Object,Display Name,# of Taps,Model File Name,Modeled,Textured,Implemented
1,1,4.00,Ant,Ant,1,,,,
2,1,4.00,Combo Lock*,Combo Lock,10,,,,
3,1,4.00,Blaring Alarm Clock,Alarm Clock,15,,,,
4,2,8.00,Fedora*,Fedora,25,,,,
5,2,8.00,Slow Laptop,Laptop,30,,,,
6,2,8.00,Lawn Mower,Lawn Mower,40,,,,
7,3,12.00,Jammed Copy Machine*,Jammed Copy Machine,65,,,,
8,3,12.00,Trump,The President,80,,,,
9,3,12.00,Double Parked Car* (Or just a car?),Car,105,,,,
10,4,16.00,DMV (Or similar infuriating building?),DMV,130,,,,
11,4,16.00,Iceberg*,Iceberg,155,,,,
12,4,16.00,Ocean Liner*,Ocean Liner,175,,,,
13,5,20.00,Florida* (Different Large State?),Florida,250,,,,
14,5,20.00,Earth,Earth,300,,,,
15,5,20.00,Player,You,500,,,,
,Length (Seconds),180.00,,,,,,,
,Length (Minutes),3.00,,,,,,,
